date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2007/06/20,WEAT,Sep,2007,2362,ZAR/Ton,ZAR,,2491,JSE
2007/06/19,WEAT,Sep,2007,2407,ZAR/Ton,ZAR,,2387,JSE
2007/06/18,WEAT,Sep,2007,2452,ZAR/Ton,ZAR,,2333,JSE
2007/06/15,WEAT,Sep,2007,2497,ZAR/Ton,ZAR,,2280,JSE
2007/06/14,WEAT,Sep,2007,2515,ZAR/Ton,ZAR,,2249,JSE
2007/06/13,WEAT,Sep,2007,2470,ZAR/Ton,ZAR,,1860,JSE
2007/06/12,WEAT,Sep,2007,2445,ZAR/Ton,ZAR,,1768,JSE
2007/06/11,WEAT,Sep,2007,2423,ZAR/Ton,ZAR,,1695,JSE
2007/06/08,WEAT,Sep,2007,2405,ZAR/Ton,ZAR,,1673,JSE
2007/06/07,WEAT,Sep,2007,2388,ZAR/Ton,ZAR,,1100,JSE
2007/06/06,WEAT,Sep,2007,2395,ZAR/Ton,ZAR,,1091,JSE
2007/06/05,WEAT,Sep,2007,2383,ZAR/Ton,ZAR,,1089,JSE
2007/06/04,WEAT,Sep,2007,2380,ZAR/Ton,ZAR,,1074,JSE
2007/06/01,WEAT,Sep,2007,2370,ZAR/Ton,ZAR,,1036,JSE
2007/05/31,WEAT,Sep,2007,2335,ZAR/Ton,ZAR,,1049,JSE
2007/05/30,WEAT,Sep,2007,2295,ZAR/Ton,ZAR,,914,JSE
2007/05/29,WEAT,Sep,2007,2285,ZAR/Ton,ZAR,,916,JSE
2007/05/28,WEAT,Sep,2007,2300,ZAR/Ton,ZAR,,910,JSE
2007/05/25,WEAT,Sep,2007,2271,ZAR/Ton,ZAR,,908,JSE
2007/05/24,WEAT,Sep,2007,2252,ZAR/Ton,ZAR,,908,JSE
2007/05/23,WEAT,Sep,2007,2240,ZAR/Ton,ZAR,,897,JSE
2007/05/22,WEAT,Sep,2007,2240,ZAR/Ton,ZAR,,824,JSE
2007/05/21,WEAT,Sep,2007,2203,ZAR/Ton,ZAR,,711,JSE
2007/05/18,WEAT,Sep,2007,2190,ZAR/Ton,ZAR,,695,JSE
2007/05/17,WEAT,Sep,2007,2174,ZAR/Ton,ZAR,,684,JSE
2007/05/16,WEAT,Sep,2007,2185,ZAR/Ton,ZAR,,689,JSE
2007/05/15,WEAT,Sep,2007,2186,ZAR/Ton,ZAR,,658,JSE
2007/05/14,WEAT,Sep,2007,2174,ZAR/Ton,ZAR,,658,JSE
2007/05/11,WEAT,Sep,2007,2163,ZAR/Ton,ZAR,,637,JSE
2007/05/10,WEAT,Sep,2007,2158,ZAR/Ton,ZAR,,638,JSE
2007/05/09,WEAT,Sep,2007,2151,ZAR/Ton,ZAR,,614,JSE
2007/05/08,WEAT,Sep,2007,2156,ZAR/Ton,ZAR,,589,JSE
2007/05/07,WEAT,Sep,2007,2191,ZAR/Ton,ZAR,,576,JSE
2007/05/04,WEAT,Sep,2007,2203,ZAR/Ton,ZAR,,552,JSE
2007/05/03,WEAT,Sep,2007,2183,ZAR/Ton,ZAR,,527,JSE
